City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,Mahibadhoo,MV,3.7833,72.9667,80.96,75,100,6.26,overcast clouds
286,Bar-Le-Duc,FR,48.75,5.1667,43.18,81,94,13.73,overcast clouds
287,Acari,PE,-15.4311,-74.6158,81.84,65,76,10.87,broken clouds
288,Vila Velha,BR,-20.3297,-40.2925,87.75,75,20,16.11,few clouds
289,Bongandanga,CD,1.5,21.05,78.39,35,15,3.31,few clouds
290,Dwarka,IN,22.2394,68.9678,70.23,80,4,8.12,clear sky
291,Coquimbo,CL,-29.9533,-71.3436,73.13,64,0,14.97,clear sky
292,Maraa,BR,-1.8333,-65.3667,81.46,85,100,3.22,overcast clouds
293,Puerto Carreno,CO,6.189,-67.4859,87.78,55,20,11.5,few clouds
294,Mokrous,RU,51.2333,47.5167,9.12,95,100,4.27,overcast clouds
295,Chapais,CA,49.7834,-74.8492,6.58,81,100,7.47,overcast clouds
296,Tolon,GR,37.5202,22.8586,41.83,85,100,10.65,overcast clouds
297,Kushmurun,KZ,52.4503,64.6311,6.24,97,99,6.13,overcast clouds
298,Ilinskiy,RU,55.619,38.1182,28.78,86,75,11.18,broken clouds
299,Jaisalmer,IN,26.9147,70.9181,69.51,37,0,12.57,clear sky
300,Sisimiut,GL,66.9395,-53.6735,-4.04,96,100,8.61,overcast clouds
301,Abeche,TD,13.8292,20.8324,77.86,10,89,8.5,overcast clouds
302,Kaoma,ZM,-14.7833,24.8,66.9,93,100,3.87,light rain
303,Vagamo,NO,61.8751,9.0967,18.28,91,100,3.56,overcast clouds
304,Raudeberg,NO,61.9875,5.1352,42.87,57,100,18.19,overcast clouds
305,Turukhansk,RU,65.8167,87.9833,1.78,98,97,2.17,overcast clouds
306,Jacareacanga,BR,-6.2222,-57.7528,89.15,54,36,1.99,scattered clouds
307,Cabedelo,BR,-6.9811,-34.8339,88.47,70,11,11.92,few clouds
308,Castro,BR,-24.7911,-50.0119,76.98,57,77,7.27,broken clouds
309,Wattegama,LK,6.7989,81.4808,72.46,88,100,5.19,overcast clouds
310,Arlit,NE,18.7369,7.3853,79.43,10,8,9.75,clear sky
311,Tazovskiy,RU,67.4667,78.7,-9.4,100,73,8.3,broken clouds
312,Hamilton,US,39.1834,-84.5333,53.04,53,100,21.85,overcast clouds
313,Masunga,BW,-20.6246,27.4488,73.33,54,86,8.25,overcast clouds
314,Krasnoselkup,RU,65.7,82.4667,1.33,98,91,5.86,overcast clouds
